Site Name,Wetland ID #,Wetland Type,Date,Start Time,Minutes Spent Sampling,Personnel Sampling,Temperature (*C),Dominant Habitat Cover,Tadpoles Present,Other - Tadpoles Present,Plains_Spadefoot,Toad_Tadpoles,Blanchards_Cricket_Frog,Copes_Gray_Treefrog,Boreal_Chorus_Frog,Western_Narrow-mouthed_Toad,Leopard_Frog,American_Bullfrog,Total_Tadpoles,Other Species of Tadpoles and Count,Additional Species Detected?,Notes,Set #,x,y,Palaemonidae,Mosquitofish,Bellastomatidae,Bluegill,Water_scorpion,Odonata,Crayfish,Fairy_shrimp,Redeared_slider,Chironomids,Leuciscidae,Orange_spotted_sunfish,Green_sunfish,Red_shiner ,Catostomidae,Fringed_diving_beetle_larvae,Fragile_forktailm-ayfly_larvae,Burrowing_mayfly_larvae,Bellastomadid_nymph,Dragonfly_larvae,Fathead_minnow,Mayfly_larvae,Cyprinidae,Damselfly_larvae,Catfish,Virile_crayfish,Longear_sunfish,Water_tiger_larvae,Threadfin_shad,River_carpsucker
Aspinwall Bend,1,Natural_Wetland_-_Riverward,5/21/2025,9:27,34,AF,,"Mud, open water, smart weed",None,,,,,,,,,,0,,Yes,,1,-95.636402,40.319656,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspinwall Bend,1,Natural_Wetland_-_Riverward,5/21/2025,10:20,46,AF,,"mud, open water, smart weed",None,,,,,,,,,,0,,Yes,,3,-95.63622,40.319723,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspinwall Bend,1,Natural_Wetland_-_Riverward,5/21/2025,11:16,38,AF,,"mud, open water, smartweed",None,,,,,,,,,,0,,Yes,Fish and turtles present in the water. Wetland bisected by property line. Shrimp only caught in the littoral zone.,5,-95.636246,40.319821,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspinwall Bend,1,Natural_Wetland_-_Riverward,5/21/2025,9:27,34,RYO,,"mud, open water, smartweed",None,,,,,,,,,,0,,Yes,,2,-95.636402,40.319656,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspinwall Bend,1,Natural_Wetland_-_Riverward,5/21/2025,10:30,35,RYO,,"mud, open water, smartweed",None,,,,,,,,,,0,,Yes,,4,-95.635906,40.319928,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspinwall Bend,1,Natural_Wetland_-_Riverward,5/21/2025,11:16,32,RYO,,"mud, open water, smartweed",None,,,,,,,,,,0,,Yes,,6,-95.636457,40.319745,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,5/22/2025,8:08,19,"RYO, SR",,"mud, open water",None,,,,,,,,,,0,,No,,1,-95.501541,40.26697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,5/22/2025,8:15,20,AF,,"Willow, mud, open water",None,,,,,,,,,,0,,No,,2,-95.501544,40.266906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,5/22/2025,8:32,34,"RYO, SR",,"Willows, mud",Toad_(American_Great_Plains_and,,,4,,,,,,,4,,Yes,,3,-95.501636,40.266563,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,5/22/2025,8:41,39,AF,,"Willow, mud",None,,,,,,,,,,0,,Yes,IMG 6522,4,-95.501125,40.26646,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,5/22/2025,9:22,20,"RYO, SR",,"Mud, open water",None,,,,,,,,,,0,,Yes,IMG 6543,5,-95.500725,40.266397,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,5/22/2025,9:27,29,AF,,"Willow, mud",Toad_(American_Great_Plains_and,,,2,,,,,,,2,,No,IMG 6527,6,-95.500271,40.266234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,5/22/2025,9:54,32,"RYO, SR",,"Mud, emergent veg",Toad_(American_Great_Plains_and,,,5,,,,,,,5,,Yes,,7,-95.499561,40.266259,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,5/22/2025,10:04,22,AF,,"Willow, mud",Toad_(American_Great_Plains_and,,,5,,,,,,,5,,No,Backwater pool to main wetland,8,-95.499204,40.266608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,5/22/2025,10:25,13,"RYO, SR",,"Mud, emergent veg",None,,,,,,,,,,0,,Yes,,9,-95.499914,40.266799,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,5/22/2025,10:32,14,AF,,"Willow, cottonwood, mud",None,,,,,,,,,,0,,Yes,"IMG - 6539, 6571, 6573",10,-95.501124,40.266898,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,2a,Borrow_Pit_-_Landward,5/22/2025,10:57,28,"RYO, SR",,Mud,Toad_(American_Great_Plains_and,,,315,,,,,,,315,,No,,1,-95.501563,40.267125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,2a,Borrow_Pit_-_Landward,5/22/2025,10:58,19,AF,,"Willow, cottonwood, mud",Toad_(American_Great_Plains_and,,,16,,,,,,,16,,No,Small ephemeral wetland,2,-95.501668,40.267458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,2b,Borrow_Pit_-_Landward,5/22/2025,11:54,16,"RYO, SR, JDF",,"Willow, mud",Toad_(American_Great_Plains_and,,,113,,,,,,,113,,Yes,"IMG 6562, 6563, 6586, 6595",1,-95.501053,40.267473,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,3,Natural_Wetland_-_Riverward,5/22/2025,13:00,14,"RYO, SR",,"Mud, smartweed",Toad_(American_Great_Plains_and,,,116,,,,,,,116,,Yes,,1,-95.5007,40.258452,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,3,Natural_Wetland_-_Riverward,5/22/2025,12:59,21,"AF, JDF",,"Mud, smartweed",Toad_(American_Great_Plains_and,,,5,,,,,,,5,,Yes,,2,-95.500484,40.25839,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,3,Natural_Wetland_-_Riverward,5/22/2025,13:23,17,"RYO, SR",,"Reeds, mud",Toad_(American_Great_Plains_and,,,28,,,,,,,28,,No,,3,-95.500125,40.258173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,3,Natural_Wetland_-_Riverward,5/22/2025,13:29,13,"AF, JDF",,"Reeds, mud",Toad_(American_Great_Plains_and,,,120,,,,,,,120,,Yes,,4,-95.4999,40.258405,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,3,Natural_Wetland_-_Riverward,5/22/2025,13:45,14,"RYO, SR",,Mud,Toad_(American_Great_Plains_and,,,54,,,,,,,54,,Yes,,5,-95.499374,40.258188,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,3,Natural_Wetland_-_Riverward,5/22/2025,13:47,11,"AF, JDF",,"Smartweed, mud",Toad_(American_Great_Plains_and,,,34,,,,,,,34,,Yes,,6,-95.499031,40.258336,,,,,,,12,1,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,5,Natural_Wetland_-_Riverward,5/22/2025,14:05,17,"RYO, JDF, SR",,"Smartweed, willow, cottonwood","Toad_(American_Great_Plains_and,Cope's_/_Gray_Treefrog",,,5,,1,,,,,6,,Yes,"IMG 6600, 6601, 6602, 6603, 6604",1,-95.516115,40.261721,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
Nishnabotna,6,Natural_Wetland_-_Riverward,5/28/2025,8:48,19,AF,19.3,"emergent vegetation, snags, open",None,,,,,,,,,,0,,No,,2,-95.661977,40.455899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nishnabotna,6,Natural_Wetland_-_Riverward,5/28/2025,9:20,16,AF,,"Willows, emergent vegetation",None,,,,,,,,,,0,,Yes,,4,-95.662981,40.456052,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nishnabotna,6,Natural_Wetland_-_Riverward,5/28/2025,9:59,18,AF,,"Willows, emergent vegetation",None,,,,,,,,,,0,,No,,6,-95.663395,40.454875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nishnabotna,6,Natural_Wetland_-_Riverward,5/28/2025,10:30,16,AF,,"Willow, emergent vegetation",None,,,,,,,,,,0,,Yes,,8,-95.661109,40.455291,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nishnabotna,2,Natural_Wetland_-_Landward,5/28/2025,11:48,20,AF,21.3,Emergent vegetation,Toad_(American_Great_Plains_and,,,2,,,,,,,2,,Yes,,2,-95.657177,40.455222,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nishnabotna,2,Natural_Wetland_-_Landward,5/28/2025,12:15,17,AF,,,None,,,,,,,,,,0,,Yes,,4,-95.657342,40.454776,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nishnabotna,2,Natural_Wetland_-_Landward,5/28/2025,12:35,15,AF,,"Snags, willows",None,,,,,,,,,,0,,Yes,,6,-95.657083,40.454419,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nishnabotna,1,"Natural_Wetland_-_Landward,Ag_Connected",5/29/2025,8:21,15,AF,19.5,"Reed canary grass, mud",None,,,,,,,,,,0,,Yes,,2,-95.658662,40.456205,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nishnabotna,1,"Natural_Wetland_-_Landward,Ag_Connected",5/29/2025,8:40,21,AF,,"Emergent veg, snags",American_Bullfrog,,,,,,,,,1,1,,Yes,IMG 6646,4,-95.657889,40.456242,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nishnabotna,1,"Natural_Wetland_-_Landward,Ag_Connected",5/29/2025,9:10,17,AF,,Bare ground,None,,,,,,,,,,0,,Yes,,6,-95.656901,40.456819,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,
Nishnabotna,3,Ag_Connected,5/29/2025,9:31,15,"AF, RYO, RL",,"Emergent veg, smart weed, willows",American_Bullfrog,,,,,,,,,5,5,,Yes,,1,-95.656739,40.45712,60,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Nishnabotna,4,Natural_Wetland_-_Riverward,5/29/2025,10:30,15,AF,,"Emergent vegetation, sticks",None,,,,,,,,,,0,,Yes,,2,-95.652624,40.437465,12,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
Nishnabotna,4,Natural_Wetland_-_Riverward,5/29/2025,10:52,25,AF,21.9,Emergent vegetation,None,,,,,,,,,,0,,Yes,IMG 6666,4,-95.652304,40.436946,27,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Nishnabotna,7,Natural_Wetland_-_Landward,5/29/2025,12:13,13,AF,,Bare ground,American_Bullfrog,,,,,,,,,1,1,,Yes,,1,-95.648138,40.423155,15,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Nishnabotna,7,Natural_Wetland_-_Landward,5/29/2025,12:30,12,AF,,Bare ground ,American_Bullfrog,,,,,,,,,9,9,,Yes,,3,-95.647822,40.42268,32,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Nishnabotna,7,Natural_Wetland_-_Landward,5/29/2025,12:47,16,AF,,"Smart weed, emergent vegetation",American_Bullfrog,,,,,,,,,21,21,,Yes,IMG 6683,5,-95.647094,40.422786,45,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
Nishnabotna,7,Natural_Wetland_-_Landward,5/29/2025,13:12,13,AF,,Bare ground,American_Bullfrog,,,,,,,,,7,7,,Yes,,5,-95.646777,40.42324,62,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
Nishnabotna,6,Natural_Wetland_-_Riverward,5/28/2025,8:38,25,RYO,,Bare ground,None,,,,,,,,,,0,,Yes,,1,-95.660895,40.456075,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Nishnabotna,6,Natural_Wetland_-_Riverward,5/28/2025,9:12,21,RYO,,"Bare ground, emergent vegetation",None,,,,,,,,,,0,,Yes,,3,-95.662281,40.456482,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Nishnabotna,6,Natural_Wetland_-_Riverward,5/28/2025,9:46,19,RYO,,Bare ground,None,,,,,,,,,,0,,Yes,,5,-95.665273,40.45682,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nishnabotna,6,Natural_Wetland_-_Riverward,5/28/2025,10:20,15,RYO,,"Sand, willows",None,,,,,,,,,,0,,Yes,,7,-95.662268,40.455089,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nishnabotna,2,Natural_Wetland_-_Landward,5/28/2025,11:47,14,RYO,,Bare ground,Toad_(American_Great_Plains_and,,,1,,,,,,,1,,Yes,,1,-95.65706,40.45536,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nishnabotna,2,Natural_Wetland_-_Landward,5/28/2025,12:08,20,RYO,,Bareground,Toad_(American_Great_Plains_and,,,5,,,,,,,5,,Yes,,3,-95.656759,40.455602,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nishnabotna,2,Natural_Wetland_-_Landward,5/28/2025,12:34,16,RYO,,"Sand, willows",Toad_(American_Great_Plains_and,,,8,,,,,,,8,,Yes,,5,-95.656364,40.455263,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nishnabotna,1,"Natural_Wetland_-_Landward,Ag_Connected",5/29/2025,8:18,15,"RYO, RL",,"Mud, emergent vegetation",None,,,,,,,,,,0,,Yes,,1,-95.658969,40.456521,10,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Nishnabotna,1,"Natural_Wetland_-_Landward,Ag_Connected",5/29/2025,8:38,18,"RYO, RL",,"Bare ground, emergent vegetation",None,,,,,,,,,,0,,Yes,,3,-95.657306,40.456098,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nishnabotna,1,"Natural_Wetland_-_Landward,Ag_Connected",5/29/2025,9:06,13,"RYO, RL",,"Willows, emergent vegetation",None,,,,,,,,,,0,,Yes,,5,-95.656885,40.456531,90,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
Nishnabotna,4,Natural_Wetland_-_Riverward,5/29/2025,10:29,6,"RYO, RL",,,None,,,,,,,,,,0,,Yes,,1,-95.652371,40.437518,30,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Nishnabotna,4,Natural_Wetland_-_Riverward,5/29/2025,10:43,12,"RYO, RL",,,None,,,,,,,,,,0,,Yes,,3,-95.652515,40.437222,15,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Nishnabotna,4,Natural_Wetland_-_Riverward,5/29/2025,11:00,9,"RYO, RL",,,None,,,,,,,,,,0,,Yes,,5,-95.652173,40.436955,10,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
Nishnabotna,7,Natural_Wetland_-_Landward,5/29/2025,12:13,9,"RYO, RL",,,None,,,,,,,,,,0,,Yes,,2,-95.652029,40.437133,175,,,,,,,,,,5,,,3,,,,,,,,,,,,,,,,
Nishnabotna,7,Natural_Wetland_-_Landward,5/29/2025,12:27,13,"RYO, RL",,,American_Bullfrog,,,,,,,,,36,36,,Yes,2 adult bullfrogs captured,4,-95.647477,40.422665,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nishnabotna,7,Natural_Wetland_-_Landward,5/29/2025,12:49,11,"RYO, RL",,,American_Bullfrog,,,,,,,,,81,81,,Yes,Catostomidae ID highly tentative,6,-95.646807,40.422889,40,,,,,,,,,,4,1,,,1,,,,,,,,,,,,,,,
Nishnabotna,7,Natural_Wetland_-_Landward,5/29/2025,13:11,12,"RYO, RL",,,American_Bullfrog,,,,,,,,,2,2,,Yes,2 adult bullfrogs captured,8,-95.64726,40.423356,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copeland Bend,5,Ag_Connected,6/4/2025,7:58,30,"AF, RYO",14.8,"Reeds, smartweed, misc. emergent veg",American_Bullfrog,,,,,,,,,38,38,,Yes,"IMG : 7857, 7845, 7848",1,-95.833254,40.68203,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
Copeland Bend,6,"Borrow_Pit_-_Landward,Ag_Connected",6/4/2025,8:46,14,"AF, RYO",19.1,Reeds,American_Bullfrog,,,,,,,,,17,17,,Yes,"GPS Stop: 40.683954, -95.831998
IMG: 6699, 7865, 7870",1,-95.832075,40.683871,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,
Copeland Bend,6,"Borrow_Pit_-_Landward,Ag_Connected",6/4/2025,9:21,22,"AF, RYO",,Reeds,American_Bullfrog,,,,,,,,,2,2,,Yes,,2,-95.831334,40.684063,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,
Copeland Bend,6,"Borrow_Pit_-_Landward,Ag_Connected",6/4/2025,9:54,22,"AF, AC",20.1,"Reeds, smartweed",American_Bullfrog,,,,,,,,,34,34,,Yes,"GPS Stop: 40.683524, -95.830663",3,-95.830872,40.683935,,,,,,,,,,,,,,,,,,,,18,,6,,,,,,,,
Copeland Bend,7,"Borrow_Pit_-_Landward,Ag_Connected",6/4/2025,10:33,18,"AF, RYO, AC",20.8,"Reeds, dead willows, smartweed",American_Bullfrog,,,,,,,,,1,1,,Yes,,1,-95.832639,40.68511,,,5,,,,,,,,,,,,,,,,,6,,,,,,,,,,
Copeland Bend,7,"Borrow_Pit_-_Landward,Ag_Connected",6/4/2025,11:00,13,AF,,"Reeds, smartweed, bareground",None,,,,,,,,,,0,,No,,3,-95.832867,40.685865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copeland Bend,7,"Borrow_Pit_-_Landward,Ag_Connected",6/4/2025,11:20,20,AF,,"Smartweed, pondweed ","Toad_(American_Great_Plains_and,American_Bullfrog",,,7,,,,,,1,8,,Yes,IMG: 7935,5,-95.831748,40.686641,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
Copeland Bend,7,"Borrow_Pit_-_Landward,Ag_Connected",6/4/2025,11:54,14,AF,,"Smartweed, bareground",None,,,,,,,,,,0,,Yes,"GPS Stop: 40.685043, -95. 831313

IMG: 6723",7,-95.831365,40.685333,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
Copeland Bend,7,"Borrow_Pit_-_Landward,Ag_Connected",6/4/2025,12:16,15,AF,,"Reeds, smartweed",None,,,,,,,,,,0,,Yes,,9,-95.831139,40.684532,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
Copeland Bend,4,Natural_Wetland_-_Riverward,6/4/2025,14:03,15,AF,26.4,"Smartweed, misc. emergent veg",None,,,,,,,,,,0,,No,,2,-95.836962,40.681693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copeland Bend,4,Natural_Wetland_-_Riverward,6/4/2025,14:20,15,AF,,"smartweed, sweet clover",None,,,,,,,,,,0,,No,,4,-95.836722,40.681854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copeland Bend,1,"Borrow_Pit_-_Riverward,Ag_Connected",6/5/2025,8:50,15,AF,18.8,Smartweed,"Toad_(American_Great_Plains_and,Leopard_Frog_(Plains_and_Northe,American_Bullfrog",,,25,,,,,1,9,35,,No,"IMG: 7910, 7908",2,-95.835293,40.680353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copeland Bend,1,"Borrow_Pit_-_Riverward,Ag_Connected",6/5/2025,9:18,15,AF,,"Smartweed, dead willows, misc. emergent veg",None,,,,,,,,,,0,,No,,4,-95.835087,40.679846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copeland Bend,1,"Borrow_Pit_-_Riverward,Ag_Connected",6/5/2025,9:34,15,AF,,"smartweed, willows",None,,,,,,,,,,0,,No,,6,-95.834647,40.679472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copeland Bend,3,Ag_Connected,6/5/2025,10:12,17,AF,20.2,"Rocks, smartweed, misc. emergent veg",other,,,,,,,,,,0,Too small to ID - 1,Yes,,1,-95.834133,40.681161,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,
Copeland Bend,3,Ag_Connected,6/5/2025,10:37,15,AF,,Smartweed,other,,,,,,,,,,0,Too small to ID - 12,Yes,"IMG: 7918, 7915",3,-95.83436,40.681094,,,,,,,,,,,,,,,,,,,,1,,33,,,,,,,,
Copeland Bend,7,"Borrow_Pit_-_Landward,Ag_Connected",6/4/2025,10:33,17,RYO,,,None,,,,,,,,,,0,,Yes,,2,-95.832639,40.68511,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,
Copeland Bend,7,"Borrow_Pit_-_Landward,Ag_Connected",6/4/2025,10:59,13,"RYO, AC",,,None,,,,,,,,,,0,,No,,4,-95.832799,40.685659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
